"MSFT","IBM","SBUX","AAPL","GSPC","Date"
29.269865,179.136883,28.811443,56.009611,1582.23999,"2013-04-26"
30.02486,183.598938,29.089955,57.744137,1593.609985,"2013-04-29"
30.476013,186.724222,29.214804,59.443757,1597.569946,"2013-04-30"
30.12614,184.041467,28.87867,58.975222,1582.699951,"2013-05-01"
30.531258,186.585941,28.993916,59.811607,1597.589966,"2013-05-02"
30.835099,188.540392,29.7094,60.41037,1614.420044,"2013-05-03"
31.074486,186.945486,30.002316,61.850881,1617.5,"2013-05-06"
30.669368,187.729118,29.963771,61.575669,1625.959961,"2013-05-07"
30.374737,189.711256,30.06977,62.271088,1632.689941,"2013-05-08"
30.070895,188.247805,30.04568,61.727821,1626.670044,"2013-05-09"
30.098516,189.387069,30.402218,61.214292,1633.699951,"2013-05-10"
30.411563,187.534601,30.267312,61.453494,1633.77002,"2013-05-13"
31.088406,188.220019,30.604579,59.983171,1650.339966,"2013-05-14"
31.385104,188.321905,30.869574,57.954721,1658.780029,"2013-05-15"
31.598359,189.590841,30.619033,58.729073,1650.469971,"2013-05-16"
32.33083,193.064219,30.898482,58.550688,1667.469971,"2013-05-17"
32.525541,192.286185,30.753941,59.85749,1666.290039,"2013-05-20"
32.312286,193.25872,30.9563,59.415582,1669.160034,"2013-05-21"
32.089764,191.721182,30.90812,59.643968,1655.349976,"2013-05-22"
31.663261,190.952406,30.604579,59.750729,1650.51001,"2013-05-23"
31.774522,190.544861,30.52749,60.1575,1649.599976,"2013-05-24"
32.469908,192.452901,30.96112,59.656132,1660.060059,"2013-05-28"
32.340104,192.582573,30.657579,60.130471,1648.359985,"2013-05-29"
32.479179,193.916352,30.580489,61.026449,1654.410034,"2013-05-30"
32.358648,192.675202,30.421491,60.776444,1630.73999,"2013-05-31"
32.998402,193.536593,30.57567,60.91023,1640.420044,"2013-06-03"
32.442094,190.980192,30.513036,60.71968,1631.380005,"2013-06-04"
32.247383,187.784688,30.036043,60.152094,1608.900024,"2013-06-05"
32.414276,188.766493,30.363674,59.253414,1622.560059,"2013-06-06"
33.072575,191.128393,31.336931,59.706133,1643.380005,"2013-06-07"
32.887141,189.8965,31.852468,59.311523,1642.810059,"2013-06-10"
32.303015,188.933209,31.520017,59.137194,1626.130005,"2013-06-11"
32.451364,186.358279,31.052661,58.406087,1612.52002,"2013-06-12"
32.191755,188.738708,31.785014,58.915563,1636.359985,"2013-06-13"
31.895057,187.284513,31.606743,58.116889,1626.72998,"2013-06-14"
32.451364,188.062547,31.813922,58.380412,1639.040039,"2013-06-17"
32.43282,189.757556,32.329458,58.349327,1651.810059,"2013-06-18"
32.07122,187.043698,31.997012,57.164151,1628.930054,"2013-06-19"
31.051321,182.792287,31.423657,56.331692,1588.189941,"2013-06-20"
30.84734,181.041705,31.168298,55.880325,1592.430054,"2013-06-21"
31.264573,179.263323,30.840667,54.399191,1573.089966,"2013-06-24"
31.218211,180.597103,31.192386,54.411352,1588.030029,"2013-06-25"
31.848695,180.485959,31.703108,53.795115,1603.26001,"2013-06-26"
32.099034,181.217678,31.650108,53.215364,1613.199951,"2013-06-27"
32.024862,177.012582,31.563382,53.587002,1606.280029,"2013-06-28"
31.857969,177.17004,31.915102,55.301924,1614.959961,"2013-07-01"
31.46855,177.373812,32.180099,56.554672,1614.079956,"2013-07-02"
31.533453,178.994722,32.425823,56.866844,1615.410034,"2013-07-03"
31.71889,180.550788,32.628182,56.410071,1631.890015,"2013-07-05"
31.830154,180.597103,32.902814,56.089792,1640.459961,"2013-07-08"
31.848695,177.188568,32.825722,57.07631,1652.319946,"2013-07-09"
32.173211,178.068488,32.811269,56.857385,1652.619995,"2013-07-10"
33.091119,178.577919,33.408712,57.743901,1675.02002,"2013-07-11"
33.072575,177.901772,33.591802,57.638493,1680.189941,"2013-07-12"
33.536165,179.689397,33.562895,57.764175,1682.5,"2013-07-15"
33.628886,179.550468,33.495438,58.137158,1676.26001,"2013-07-16"
33.137481,180.198829,32.859449,58.152026,1680.910034,"2013-07-17"
32.859323,183.385076,32.994359,58.347978,1689.369995,"2013-07-18"
29.113509,179.263323,33.143719,57.427674,1692.089966,"2013-07-19"
29.679089,179.772755,33.254533,57.611465,1695.530029,"2013-07-22"
29.502926,180.597103,32.599275,56.62224,1692.390015,"2013-07-23"
29.632731,182.106869,32.093373,59.530451,1685.939941,"2013-07-24"
29.104237,182.671872,32.844995,59.258819,1690.25,"2013-07-25"
29.317491,182.792287,35.345591,59.59532,1691.650024,"2013-07-26"
29.243316,181.736381,34.907142,60.51427,1685.329956,"2013-07-29"
29.530742,181.551123,34.656602,61.261594,1685.959961,"2013-07-30"
29.52147,180.652674,34.348244,61.15483,1685.72998,"2013-07-31"
29.363849,181.365879,35.403409,61.71566,1706.869995,"2013-08-01"
29.567828,180.763832,35.764767,62.50758,1709.670044,"2013-08-02"
29.391665,181.078748,35.639495,63.441397,1707.140015,"2013-08-05"
29.280402,176.901438,35.175641,62.873812,1697.369995,"2013-08-06"
29.725451,175.523754,34.8809,62.837321,1690.910034,"2013-08-07"
30.49501,174.937305,35.243286,62.712171,1697.47998,"2013-08-08"
30.318847,174.834924,35.175641,61.819794,1691.420044,"2013-08-09"
30.476466,176.017111,35.238453,63.575974,1689.469971,"2013-08-12"
30.093643,175.393434,35.09833,66.597243,1694.160034,"2013-08-13"
30.205688,174.564965,34.716616,67.812014,1685.390015,"2013-08-14"
